Document name,Link to resource,Description,Difficulties using this object,Use of this object,Find location,Language(s),Date (if available)
Square Khotanese wooden envelope-tablet made up of two pieces of wood,https://idp.bl.uk/collection/5FFB4DA439BB45CCABBB3E381E9A1C8D/?return=%2Fcollection%2F%3Fterm_material%255B%255D%3Dmc%253Aeveryday%2Blives%2Bof%2Bpeople%2Bon%2Bthe%2BSilk%2BRoads.%26classification%255B%255D%3DManuscript%2B%2528inc.%2Bblockprint%2529%26subject%255B%255D%3DSocial%2Band%2BEconomic ,"<p><span>a square</span><span> Khotanese wooden envelope-tablet made up of two pieces of wood. Clay seal, with some original cord in place. Writing on both sides of the upper and lower pieces. Dated in the first regnal year of the Great King of Khoptan, Visya Sihya (c. 737–46), it was signed by the General Visala, whose clay seal is still preserved.</span></p>","<p>These wooden envelopes have texts on them, and the text is not clear. This makes it difficult for the reader to understand. </p>","<p>These wooden envelopes tell us that the people at that time were using letters to communicate and to carry these letters; they have created these wooden envelopes, which indicates that those people were highly skilled.</p>",Dandan Uiliq,Khotanese (lang.) Brahmi (script),300
A rare example of Zoroastrian literature in Sogdian,https://idp.bl.uk/collection/F37E9E6341234873A58024CE3280B911/ ,"<p>This eight or ninnth-century Sogdian manuscript found in Dunhuang, China, has a version of one of the holiest Zoroastrian prayers, the Ashem Vohu, which was originally written in the Avestan (ancient Iranian) language.</p>","<p>The text presents significant challenges, including translation difficulties due to the ancient and less commonly understood Sogdian language, preservation issues with fragile manuscripts, and an in-depth knowledge of both Zoroastrian religious practices and Sogdian culture in order to fully comprehend its context and significance.</p>","<p>Academically, it is a valuable tool for researchers studying ancient faiths, languages, and the historical expansion of Zoroastrianism in Central Asia. Language researchers can utilize it to better comprehend the Sogdian language, while cultural historians can investigate Silk Road trade. This text also has religious relevance for current Zoroastrians, as it provides insights into their religious history, and it can be used to improve museum displays focusing on religion or Central Asian history.</p>",Dunhuang Mogao,Sogdian,800
Four woodcuts of Mañjuśrī.,https://data.idp.bl.uk/mediaLib/z/3/h/107iehy1fdp9tn5nf4agy3/mid_42D6AEB9F6E5457794877DAE7ABB28DF.jpg ,"<p>Four woodcuts on paper from the same design as depict Chinese lettering and Mañjuśrī on a lion. Poor impressions printed on a number of small squares of thin paper, pasted together to make a single sheet, and bordered with stiffer paper. Another strip of paper was attached between impressions, with a poorly drawn and painted tiny Buddha at the top and a salutation to Amitābha (?) below. Dirt obscures the lower portion of the inscr., and the sheet is often in horrible condition.</p>","<p>The use of Mañjuśrī's four woodcuts may provide difficulties. Recognizing these artworks' deep cultural and religious meaning. Also, keeping antique woodcuts can be challenging; they must be protected from light, humidity, and changes in temperature to avoid harm. Displaying them properly requires certain circumstances to prevent degradation, which may limit how and where they can be displayed.</p>","<p>These tools are used in religious studies to explain and offer the qualities and stories of Mañjuśrī, a major figure in Mahayana Buddhism recognized for his wisdom. The woodcuts depicting Mañjuśrī might help focus thoughts and intentions on knowledge and enlightenment during meditation activities. They also have artistic value, and may be shown in museums or cultural exhibitions to highlight Buddhist art and iconography.</p>",Dunhuang Mogao,Chinese,926
Ink in wood,https://idp.bl.uk/collection/1470BA8EE02D46B1A5CE6609F52807C9/?return=%2Fcollection%2F%3Flanguage_or_script%255B%255D%3DGandhari%2520Prakrit%2520%2528lang.%2529 ,<p> It is a a rectangular covering tablet with flags of strings with a height of  0.7centimeter and width of 19.1 cm. there is a clear and well written short lines of Kharoshti script at the top edges.</p>,"<p>The text appeared muddled, resulting in a lack of clarity where all the words seemed to blend together</p>",<p>This has been used as document of confirmation or affidivit which has been written in the presence of the witnesses.</p>,Niya,Gandhari,
Names of the Thousand Buddhas.,https://idp.bl.uk/collection/1DA0BC42E22047DC8EB4DDAF7117081B/ ,"<ul>
<li><span>Two portions of illuminated Chin. MS. roll, containing treatise on names of the Thousand Buddhas.</span></li>
<li><span><span>At head of each name is miniature of small seated Buddha.</span></span></li>
</ul>","<p>Some of names and images of buddha are missing (worn off), otherwise the document is in good condition. It has some waterspots/oilspots on the paper as well but it does not affect the text visibility.</p>","<ul>
<li>This document could have played important part in history of Buddhism as it contains almost a thousand names of Buddha which would have difficult to remember so they must have written it with small individual images of buddha.</li>
</ul>",Mogao Caves near Dunhuang,Chinese,901
"Manuscript, Ink on Paper: Contract relating to land mortgage",https://idp.bl.uk/collection/688C8850D4AF4158A65FB29CEFC10E9A/?return=%2Fcollection%2F%3Fterm%3Dsuit%2520contracts ,"<ul>
<li>The contract details the mortgage agreement between two brothers and their neighbor Luo Sichao.</li>
<li>The agreement involves mortgaging two parcels of inherited land, totaling 2.5 mou.</li>
<li>The mortgage term is set for four years.</li>
<li>In exchange for the mortgage, the brothers receive 15 piculs of wheat.</li>
<li>The contract includes the names and identifying marks of the three men involved: the two brothers and Luo Sichao.</li>
<li>The contract is witnessed by Luo Sichao's father, Luo Anjin, and the Vinaya Master Fuhai.</li>
</ul>
<p></p>
<div class=""LTRStyle"" style=""text-align:left;"">
<div>
<div><span><span>TRANSLATE with </span></span> <span title=""Exit Translation"">x</span></div>
<div>
<div class=""DDStyle_outer"">  <span class=""DDStyle"">English</span>
<div style=""text-align:left;"">
<div>
<div class=""DDStyle"">
<table border=""0"">
<tbody>
<tr>
<td><a href=""#ar"">Arabic</a></td>
<td><a href=""#he"">Hebrew</a></td>
<td><a href=""#pl"">Polish</a></td>
</tr>
<tr>
<td><a href=""#bg"">Bulgarian</a></td>
<td><a href=""#hi"">Hindi</a></td>
<td><a href=""#pt"">Portuguese</a></td>
</tr>
<tr>
<td><a href=""#ca"">Catalan</a></td>
<td><a href=""#mww"">Hmong Daw</a></td>
<td><a href=""#ro"">Romanian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHS"">Chinese Simplified</a></td>
<td><a href=""#hu"">Hungarian</a></td>
<td><a href=""#ru"">Russian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHT"">Chinese Traditional</a></td>
<td><a href=""#id"">Indonesian</a></td>
<td><a href=""#sk"">Slovak</a></td>
</tr>
<tr>
<td><a href=""#cs"">Czech</a></td>
<td><a href=""#it"">Italian</a></td>
<td><a href=""#sl"">Slovenian</a></td>
</tr>
<tr>
<td><a href=""#da"">Danish</a></td>
<td><a href=""#ja"">Japanese</a></td>
<td><a href=""#es"">Spanish</a></td>
</tr>
<tr>
<td><a href=""#nl"">Dutch</a></td>
<td><a href=""#tlh"">Klingon</a></td>
<td><a href=""#sv"">Swedish</a></td>
</tr>
<tr>
<td><a href=""#en"">English</a></td>
<td><a href=""#ko"">Korean</a></td>
<td><a href=""#th"">Thai</a></td>
</tr>
<tr>
<td><a href=""#et"">Estonian</a></td>
<td><a href=""#lv"">Latvian</a></td>
<td><a href=""#tr"">Turkish</a></td>
</tr>
<tr>
<td><a href=""#fi"">Finnish</a></td>
<td><a href=""#lt"">Lithuanian</a></td>
<td><a href=""#uk"">Ukrainian</a></td>
</tr>
<tr>
<td><a href=""#fr"">French</a></td>
<td><a href=""#ms"">Malay</a></td>
<td><a href=""#ur"">Urdu</a></td>
</tr>
<tr>
<td><a href=""#de"">German</a></td>
<td><a href=""#mt"">Maltese</a></td>
<td><a href=""#vi"">Vietnamese</a></td>
</tr>
<tr>
<td><a href=""#el"">Greek</a></td>
<td><a href=""#no"">Norwegian</a></td>
<td><a href=""#cy"">Welsh</a></td>
</tr>
<tr>
<td><a href=""#ht"">Haitian Creole</a></td>
<td><a href=""#fa"">Persian</a></td>
<td> </td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>

</div>
<div><span><a title=""Help"" href=""https://go.microsoft.com/?linkid=9722454"" target=""_blank"" rel=""noreferrer noopener""> </a> <a title=""Get this widget for your own site""> </a> <a title=""Share translated page with friends""> </a> </span></div>
<div> </div>
</div>
<div><span>TRANSLATE with </span></div>
<div>
<div><span> COPY THE URL BELOW </span></div>
<div>  <a title=""Email this translation""></a> </div>
<div><span><a></a> </span> <span><a title=""Back To Translation""> Back</a></span></div>
  </div>
<div>
<div><span>EMBED THE SNIPPET BELOW IN YOUR SITE</span> <a title=""Copy this code and place it into your HTML.""></a> </div>
<div></div>
<div><span>Enable collaborative features and customize widget: <a href=""http://www.bing.com/widget/translator"" target=""_blank"" rel=""noreferrer noopener"">Bing Webmaster Portal</a></span></div>
<div><span><a title=""Back To Translation"">Back</a></span></div>
</div>

</div>","<p>This contract is not complete because the writings on the alternate pages are missing and it will be hard to know the reality of what is said. We will not be able to know what has happened in between the scenario, and what exactly happened at the end. Due to all this we will not be able to find the real context. </p>
<p>The page numbers have not been given which will be a hindrance to reading them in order.</p>
<p>Some pages are in bits and pieces.  </p>","<p>The contract contains examples of ancient writing styles and language usage, providing valuable information for linguists and historians.</p>
<p>The contract often contains names and family relationships, which can be used to trace lineages and understand family structures</p>
<p>Contract reveals how legal and economic systems were structured, including land ownership.</p>
<p></p>
<div class=""LTRStyle"" style=""text-align:left;"">
<div>
<div><span><span>TRANSLATE with </span></span> <span title=""Exit Translation"">x</span></div>
<div>
<div class=""DDStyle_outer"">  <span class=""DDStyle"">English</span>
<div style=""text-align:left;"">
<div>
<div class=""DDStyle"">
<table border=""0"">
<tbody>
<tr>
<td><a href=""#ar"">Arabic</a></td>
<td><a href=""#he"">Hebrew</a></td>
<td><a href=""#pl"">Polish</a></td>
</tr>
<tr>
<td><a href=""#bg"">Bulgarian</a></td>
<td><a href=""#hi"">Hindi</a></td>
<td><a href=""#pt"">Portuguese</a></td>
</tr>
<tr>
<td><a href=""#ca"">Catalan</a></td>
<td><a href=""#mww"">Hmong Daw</a></td>
<td><a href=""#ro"">Romanian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHS"">Chinese Simplified</a></td>
<td><a href=""#hu"">Hungarian</a></td>
<td><a href=""#ru"">Russian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHT"">Chinese Traditional</a></td>
<td><a href=""#id"">Indonesian</a></td>
<td><a href=""#sk"">Slovak</a></td>
</tr>
<tr>
<td><a href=""#cs"">Czech</a></td>
<td><a href=""#it"">Italian</a></td>
<td><a href=""#sl"">Slovenian</a></td>
</tr>
<tr>
<td><a href=""#da"">Danish</a></td>
<td><a href=""#ja"">Japanese</a></td>
<td><a href=""#es"">Spanish</a></td>
</tr>
<tr>
<td><a href=""#nl"">Dutch</a></td>
<td><a href=""#tlh"">Klingon</a></td>
<td><a href=""#sv"">Swedish</a></td>
</tr>
<tr>
<td><a href=""#en"">English</a></td>
<td><a href=""#ko"">Korean</a></td>
<td><a href=""#th"">Thai</a></td>
</tr>
<tr>
<td><a href=""#et"">Estonian</a></td>
<td><a href=""#lv"">Latvian</a></td>
<td><a href=""#tr"">Turkish</a></td>
</tr>
<tr>
<td><a href=""#fi"">Finnish</a></td>
<td><a href=""#lt"">Lithuanian</a></td>
<td><a href=""#uk"">Ukrainian</a></td>
</tr>
<tr>
<td><a href=""#fr"">French</a></td>
<td><a href=""#ms"">Malay</a></td>
<td><a href=""#ur"">Urdu</a></td>
</tr>
<tr>
<td><a href=""#de"">German</a></td>
<td><a href=""#mt"">Maltese</a></td>
<td><a href=""#vi"">Vietnamese</a></td>
</tr>
<tr>
<td><a href=""#el"">Greek</a></td>
<td><a href=""#no"">Norwegian</a></td>
<td><a href=""#cy"">Welsh</a></td>
</tr>
<tr>
<td><a href=""#ht"">Haitian Creole</a></td>
<td><a href=""#fa"">Persian</a></td>
<td> </td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>

</div>
<div><span><a title=""Help"" href=""https://go.microsoft.com/?linkid=9722454"" target=""_blank"" rel=""noreferrer noopener""> </a> <a title=""Get this widget for your own site""> </a> <a title=""Share translated page with friends""> </a> </span></div>
<div> </div>
</div>
<div><span>TRANSLATE with </span></div>
<div>
<div><span> COPY THE URL BELOW </span></div>
<div>  <a title=""Email this translation""></a> </div>
<div><span><a></a> </span> <span><a title=""Back To Translation""> Back</a></span></div>
  </div>
<div>
<div><span>EMBED THE SNIPPET BELOW IN YOUR SITE</span> <a title=""Copy this code and place it into your HTML.""></a> </div>
<div></div>
<div><span>Enable collaborative features and customize widget: <a href=""http://www.bing.com/widget/translator"" target=""_blank"" rel=""noreferrer noopener"">Bing Webmaster Portal</a></span></div>
<div><span><a title=""Back To Translation"">Back</a></span></div>
</div>

</div>",Dunhuang Mogao,Chinese,953
Ink on Paper: Text relating to the upkeep of roads in Khotanese.,https://idp.bl.uk/collection/C83A3564AD7747CCAB094CABDBE3342E/?return=%2Fcollection%2F%3Fpage%3D2%26term%3Dpaper%2Bsilk%2Broad ,"<ul>
<li>General Sudarrjum issued orders for road maintenance along the Silk Road based on reports from an inspection tour.</li>
<li>Ten men were assigned to repair the road in the Pa' region, which had become difficult to travel due to being full of holes.</li>
<li>The workers were instructed to bring loads of reeds and work continuously until the repairs were completed, using the reeds to fill a pond that drains towards the town.</li>
<li>Emphasis was placed on quick action to avoid delays or excuses for inaction.</li>
<li>The document demonstrated efficient use of paper, containing different texts in Khotanese and Tibetan on both sides, indicating the importance of record-keeping and communication.</li>
</ul>
<p></p>
<div class=""LTRStyle"" style=""text-align:left;"">
<div>
<div><span><span>TRANSLATE with </span></span> <span title=""Exit Translation"">x</span></div>
<div>
<div class=""DDStyle_outer"">  <span class=""DDStyle"">English</span>
<div style=""text-align:left;"">
<div>
<div class=""DDStyle"">
<table border=""0"">
<tbody>
<tr>
<td><a href=""#ar"">Arabic</a></td>
<td><a href=""#he"">Hebrew</a></td>
<td><a href=""#pl"">Polish</a></td>
</tr>
<tr>
<td><a href=""#bg"">Bulgarian</a></td>
<td><a href=""#hi"">Hindi</a></td>
<td><a href=""#pt"">Portuguese</a></td>
</tr>
<tr>
<td><a href=""#ca"">Catalan</a></td>
<td><a href=""#mww"">Hmong Daw</a></td>
<td><a href=""#ro"">Romanian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHS"">Chinese Simplified</a></td>
<td><a href=""#hu"">Hungarian</a></td>
<td><a href=""#ru"">Russian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHT"">Chinese Traditional</a></td>
<td><a href=""#id"">Indonesian</a></td>
<td><a href=""#sk"">Slovak</a></td>
</tr>
<tr>
<td><a href=""#cs"">Czech</a></td>
<td><a href=""#it"">Italian</a></td>
<td><a href=""#sl"">Slovenian</a></td>
</tr>
<tr>
<td><a href=""#da"">Danish</a></td>
<td><a href=""#ja"">Japanese</a></td>
<td><a href=""#es"">Spanish</a></td>
</tr>
<tr>
<td><a href=""#nl"">Dutch</a></td>
<td><a href=""#tlh"">Klingon</a></td>
<td><a href=""#sv"">Swedish</a></td>
</tr>
<tr>
<td><a href=""#en"">English</a></td>
<td><a href=""#ko"">Korean</a></td>
<td><a href=""#th"">Thai</a></td>
</tr>
<tr>
<td><a href=""#et"">Estonian</a></td>
<td><a href=""#lv"">Latvian</a></td>
<td><a href=""#tr"">Turkish</a></td>
</tr>
<tr>
<td><a href=""#fi"">Finnish</a></td>
<td><a href=""#lt"">Lithuanian</a></td>
<td><a href=""#uk"">Ukrainian</a></td>
</tr>
<tr>
<td><a href=""#fr"">French</a></td>
<td><a href=""#ms"">Malay</a></td>
<td><a href=""#ur"">Urdu</a></td>
</tr>
<tr>
<td><a href=""#de"">German</a></td>
<td><a href=""#mt"">Maltese</a></td>
<td><a href=""#vi"">Vietnamese</a></td>
</tr>
<tr>
<td><a href=""#el"">Greek</a></td>
<td><a href=""#no"">Norwegian</a></td>
<td><a href=""#cy"">Welsh</a></td>
</tr>
<tr>
<td><a href=""#ht"">Haitian Creole</a></td>
<td><a href=""#fa"">Persian</a></td>
<td> </td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>

</div>
<div><span><a title=""Help"" href=""https://go.microsoft.com/?linkid=9722454"" target=""_blank"" rel=""noreferrer noopener""> </a> <a title=""Get this widget for your own site""> </a> <a title=""Share translated page with friends""> </a> </span></div>
<div> </div>
</div>
<div><span>TRANSLATE with </span></div>
<div>
<div><span> COPY THE URL BELOW </span></div>
<div>  <a title=""Email this translation""></a> </div>
<div><span><a></a> </span> <span><a title=""Back To Translation""> Back</a></span></div>
  </div>
<div>
<div><span>EMBED THE SNIPPET BELOW IN YOUR SITE</span> <a title=""Copy this code and place it into your HTML.""></a> </div>
<div></div>
<div><span>Enable collaborative features and customize widget: <a href=""http://www.bing.com/widget/translator"" target=""_blank"" rel=""noreferrer noopener"">Bing Webmaster Portal</a></span></div>
<div><span><a title=""Back To Translation"">Back</a></span></div>
</div>

</div>","<p>The text on Khotanese road maintenance presents a challenge due to language barriers and deterioration. Historians may struggle to understand its content because the language is not commonly used today, and parts of the text are faded or roughly written. This hinders efforts to extract historical insights and reconstruct the past accurately.</p>
<p></p>
<div class=""LTRStyle"" style=""text-align:left;"">
<div>
<div><span><span>TRANSLATE with </span></span> <span title=""Exit Translation"">x</span></div>
<div>
<div class=""DDStyle_outer"">  <span class=""DDStyle"">English</span>
<div style=""text-align:left;"">
<div>
<div class=""DDStyle"">
<table border=""0"">
<tbody>
<tr>
<td><a href=""#ar"">Arabic</a></td>
<td><a href=""#he"">Hebrew</a></td>
<td><a href=""#pl"">Polish</a></td>
</tr>
<tr>
<td><a href=""#bg"">Bulgarian</a></td>
<td><a href=""#hi"">Hindi</a></td>
<td><a href=""#pt"">Portuguese</a></td>
</tr>
<tr>
<td><a href=""#ca"">Catalan</a></td>
<td><a href=""#mww"">Hmong Daw</a></td>
<td><a href=""#ro"">Romanian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHS"">Chinese Simplified</a></td>
<td><a href=""#hu"">Hungarian</a></td>
<td><a href=""#ru"">Russian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHT"">Chinese Traditional</a></td>
<td><a href=""#id"">Indonesian</a></td>
<td><a href=""#sk"">Slovak</a></td>
</tr>
<tr>
<td><a href=""#cs"">Czech</a></td>
<td><a href=""#it"">Italian</a></td>
<td><a href=""#sl"">Slovenian</a></td>
</tr>
<tr>
<td><a href=""#da"">Danish</a></td>
<td><a href=""#ja"">Japanese</a></td>
<td><a href=""#es"">Spanish</a></td>
</tr>
<tr>
<td><a href=""#nl"">Dutch</a></td>
<td><a href=""#tlh"">Klingon</a></td>
<td><a href=""#sv"">Swedish</a></td>
</tr>
<tr>
<td><a href=""#en"">English</a></td>
<td><a href=""#ko"">Korean</a></td>
<td><a href=""#th"">Thai</a></td>
</tr>
<tr>
<td><a href=""#et"">Estonian</a></td>
<td><a href=""#lv"">Latvian</a></td>
<td><a href=""#tr"">Turkish</a></td>
</tr>
<tr>
<td><a href=""#fi"">Finnish</a></td>
<td><a href=""#lt"">Lithuanian</a></td>
<td><a href=""#uk"">Ukrainian</a></td>
</tr>
<tr>
<td><a href=""#fr"">French</a></td>
<td><a href=""#ms"">Malay</a></td>
<td><a href=""#ur"">Urdu</a></td>
</tr>
<tr>
<td><a href=""#de"">German</a></td>
<td><a href=""#mt"">Maltese</a></td>
<td><a href=""#vi"">Vietnamese</a></td>
</tr>
<tr>
<td><a href=""#el"">Greek</a></td>
<td><a href=""#no"">Norwegian</a></td>
<td><a href=""#cy"">Welsh</a></td>
</tr>
<tr>
<td><a href=""#ht"">Haitian Creole</a></td>
<td><a href=""#fa"">Persian</a></td>
<td> </td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>

</div>
<div><span><a title=""Help"" href=""https://go.microsoft.com/?linkid=9722454"" target=""_blank"" rel=""noreferrer noopener""> </a> <a title=""Get this widget for your own site""> </a> <a title=""Share translated page with friends""> </a> </span></div>
<div> </div>
</div>
<div><span>TRANSLATE with </span></div>
<div>
<div><span> COPY THE URL BELOW </span></div>
<div>  <a title=""Email this translation""></a> </div>
<div><span><a></a> </span> <span><a title=""Back To Translation""> Back</a></span></div>
  </div>
<div>
<div><span>EMBED THE SNIPPET BELOW IN YOUR SITE</span> <a title=""Copy this code and place it into your HTML.""></a> </div>
<div></div>
<div><span>Enable collaborative features and customize widget: <a href=""http://www.bing.com/widget/translator"" target=""_blank"" rel=""noreferrer noopener"">Bing Webmaster Portal</a></span></div>
<div><span><a title=""Back To Translation"">Back</a></span></div>
</div>

</div>","<p> The text on Khotanese road maintenance provides insight into the logistical challenges and practices along the Silk Road. It highlights the importance of road safety for the military and commerce, showing the use of labor and natural materials like reeds for maintenance. The text reflects the society's resource management and administrative processes, demonstrating meticulous documentation and the use of different languages and paper for record-keeping. Besides its deterioration, it can be used to trace the date on which it is written. </p>
<p> </p>
<p></p>
<div class=""LTRStyle"" style=""text-align:left;"">
<div>
<div><span><span>TRANSLATE with </span></span> <span title=""Exit Translation"">x</span></div>
<div>
<div class=""DDStyle_outer"">  <span class=""DDStyle"">English</span>
<div style=""text-align:left;"">
<div>
<div class=""DDStyle"">
<table border=""0"">
<tbody>
<tr>
<td><a href=""#ar"">Arabic</a></td>
<td><a href=""#he"">Hebrew</a></td>
<td><a href=""#pl"">Polish</a></td>
</tr>
<tr>
<td><a href=""#bg"">Bulgarian</a></td>
<td><a href=""#hi"">Hindi</a></td>
<td><a href=""#pt"">Portuguese</a></td>
</tr>
<tr>
<td><a href=""#ca"">Catalan</a></td>
<td><a href=""#mww"">Hmong Daw</a></td>
<td><a href=""#ro"">Romanian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHS"">Chinese Simplified</a></td>
<td><a href=""#hu"">Hungarian</a></td>
<td><a href=""#ru"">Russian</a></td>
</tr>
<tr>
<td><a href=""#zh-CHT"">Chinese Traditional</a></td>
<td><a href=""#id"">Indonesian</a></td>
<td><a href=""#sk"">Slovak</a></td>
</tr>
<tr>
<td><a href=""#cs"">Czech</a></td>
<td><a href=""#it"">Italian</a></td>
<td><a href=""#sl"">Slovenian</a></td>
</tr>
<tr>
<td><a href=""#da"">Danish</a></td>
<td><a href=""#ja"">Japanese</a></td>
<td><a href=""#es"">Spanish</a></td>
</tr>
<tr>
<td><a href=""#nl"">Dutch</a></td>
<td><a href=""#tlh"">Klingon</a></td>
<td><a href=""#sv"">Swedish</a></td>
</tr>
<tr>
<td><a href=""#en"">English</a></td>
<td><a href=""#ko"">Korean</a></td>
<td><a href=""#th"">Thai</a></td>
</tr>
<tr>
<td><a href=""#et"">Estonian</a></td>
<td><a href=""#lv"">Latvian</a></td>
<td><a href=""#tr"">Turkish</a></td>
</tr>
<tr>
<td><a href=""#fi"">Finnish</a></td>
<td><a href=""#lt"">Lithuanian</a></td>
<td><a href=""#uk"">Ukrainian</a></td>
</tr>
<tr>
<td><a href=""#fr"">French</a></td>
<td><a href=""#ms"">Malay</a></td>
<td><a href=""#ur"">Urdu</a></td>
</tr>
<tr>
<td><a href=""#de"">German</a></td>
<td><a href=""#mt"">Maltese</a></td>
<td><a href=""#vi"">Vietnamese</a></td>
</tr>
<tr>
<td><a href=""#el"">Greek</a></td>
<td><a href=""#no"">Norwegian</a></td>
<td><a href=""#cy"">Welsh</a></td>
</tr>
<tr>
<td><a href=""#ht"">Haitian Creole</a></td>
<td><a href=""#fa"">Persian</a></td>
<td> </td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>

</div>
<div><span><a title=""Help"" href=""https://go.microsoft.com/?linkid=9722454"" target=""_blank"" rel=""noreferrer noopener""> </a> <a title=""Get this widget for your own site""> </a> <a title=""Share translated page with friends""> </a> </span></div>
<div> </div>
</div>
<div><span>TRANSLATE with </span></div>
<div>
<div><span> COPY THE URL BELOW </span></div>
<div>  <a title=""Email this translation""></a> </div>
<div><span><a></a> </span> <span><a title=""Back To Translation""> Back</a></span></div>
  </div>
<div>
<div><span>EMBED THE SNIPPET BELOW IN YOUR SITE</span> <a title=""Copy this code and place it into your HTML.""></a> </div>
<div></div>
<div><span>Enable collaborative features and customize widget: <a href=""http://www.bing.com/widget/translator"" target=""_blank"" rel=""noreferrer noopener"">Bing Webmaster Portal</a></span></div>
<div><span><a title=""Back To Translation"">Back</a></span></div>
</div>

</div>",Domoko,Khotanese (lang.) Brahmi (script),400
A legal contract concerning adoption of a boy written on a double wooden tablet.,https://idp.bl.uk/collection/D8BF3A0371DD47AEBB0D646628DED271/?return=%2Fcollection%2F%3Fterm%3Dcontracts ,"<ul>
<li> The document describes the adoption of a boy named Haryāsaka by a man named Puñadatta to the wife his half brother Aśnadāysa.</li>
<li>This act of adoption is legally documented on the double wooden tablet, indicating the transfer of guardianship and responsibility from Puñadatta to Aśnadāysa.</li>
<li>The terms of the adoption, along with specific conditions and details, are carefully recorded in the inscription by the scribe Bihera, ensuring the legality and recognition of the adoption process.</li>
</ul>",<p>There no such visible difficulties using this evidence as it is in excellent condition and text is completely visible as well. However there could have been some difficulties in translation as text has 2 differently identified scripts( khotanese &amp; brahmi). Some condition of adoption are missing in translation of text otherwise it is easily understandable.</p>,"<p>This object shows that adoption was a legal procedure back in 300-900. It <span>offers a glimpse into the social structures and relationships of the time, shedding light on how adoptions were formalized and documented.</span></p>",Dandanuiliq,Khotanese (lang.) Brahmi (script),300
"Manuscript, Ink on paper",https://idp.bl.uk/collection/91ABD488F7A3431C97E928FE9CF0BC5A/?return=%2Fcollection%2F%3Fmaterial%255B%255D%3Dmanuscript%252C%2520ink%2520on%2520paper ,"<p><span><span>his text, written in a combination of standard script and semicursive script calligraphy. <span>he There are red check marks throughout the text which are the notations made by a priest at the Qianyuan Temple at Shazhou.</span></span></span></p>",<p>The texts are not clear due to which it is very difficult for the readers to catch the words. </p>,<p><span> the script has been used as an for the outlines rules of mental and physical discipline for monks.</span></p>,Dunhuang Mogao,Chinese,800
Śākyamuni in grotto of Vulture Peak with Jātaka scenes,https://idp.bl.uk/collection/9DBA25266FA74E6D8556490FADB9894B/?return=%2Fcollection%2F%3Fterm%3D1919%252C0101%252C0.20 ,"<p><span> Fr. of large silk painting evidently representing Buddha (Śākyamuni) in grotto of Vulture Peak, with Jātaka (?) scenes at sides.</span></p>
<p><span> Part only of L. half, much broken and all edges incomplete; but drawing well preserved and colour exceptionally fresh</span></p>","<p>There is no such language barrier, as the text has been translated into English, apart from that the images are somehow scratched and unable to identigy them properly. Focuses the painting of a single person, I think Budha, but why and how are questions to be asked.</p>","<p>This article and the images give us information, how quickly Buddhism spread in this belt of Silk Road from India to China, then in the neighboring countries.</p>",Dunhuang Mogao,not applicable,701
Contract relating to land mortgage,https://idp.bl.uk/collection/688C8850D4AF4158A65FB29CEFC10E9A/?return=%2Fcollection%2F%3Fterm%3DAstana%2520Graveyard%2520Contracts ,"<p><span>This contract gives the conditions by which the two brothers of poor means agree to mortgage two parcels of their inherited estate totalling two and a half mou of land for a term of four years to their neighbour Luo Sichao in exchange for 15 piculs of wheat. The names and identifying marks of the three men appear at the close of the text along with those of two witnesses, Luo 's father Luo Anjin, and the Vinaya Master Fuhai.</span></p>","<p>The text is in Chinese Language, some pages are fully blank nothing on them, it shows or the written has disappeared , or there has nothing written down.</p>","<p>This material give us the information about the tradition of agreement, which was used long by the people living on the Silk Road, and especially by the Chinese and it also give the evidence how the do agreement the criteria was also included.</p>",Dunhuang Mogao,Chinese,953
Contract relating to land mortgage,https://idp.bl.uk/collection/688C8850D4AF4158A65FB29CEFC10E9A/?return=%2Fcollection%2F%3Fterm%3DAstana%2520Graveyard%2520Contracts ,"<p><span>This contract gives the conditions by which the two brothers of poor means agree to mortgage two parcels of their inherited estate totalling two and a half mou of land for a term of four years to their neighbour Luo Sichao in exchange for 15 piculs of wheat. The names and identifying marks of the three men appear at the close of the text along with those of two witnesses, Luo 's father Luo Anjin, and the Vinaya Master Fuhai.</span></p>","<p>The text is in Chinese Language, some pages are fully blank nothing on them, it shows or the written has disappeared , or there has nothing written down.</p>","<p>This material give us the information about the tradition of agreement, which was used long by the people living on the Silk Road, and especially by the Chinese and it also give the evidence how the do agreement the criteria was also included.</p>",Dunhuang Mogao,Chinese,953
